,overall,reviewTime,reviewText
231,1.0,2006,"These are the most comfortable things I have ever worn on my feet; I bought them for gymnastics and I'm so happy that I did; They are so comfortable! But just in case you didn't know: the straps are only attached at the back of the slipper; So you have to sew them into the front- I'm assuming for proper fit; This is a bit annoying- coupled with the fact that there is no loop or area of fabric to sew them into without having to see your handy work through the front(no good if your terrible at sewing like me); And they soil easily;This should be expected of course(especially if they are white). Still, as my title suggests,they earn 5 stars and more because they truly are that comfortable; Especially when walking on carpet; I can't well explain why, because the shoes really have no padding; But they hug your feet and support your arch to an extent (I'm assuming these would not be as comfortable for flat footed people).The price is great and, if you are into ballet, what do you have to loose."
240,1.0,2006,"Wearing the same style Betulas purchased years ago (and they're still going strong!), I was so sure of my size that I ordered 3 new pairs in assorted colors. Well, no such luck. The footbeds of the ""new"" size 38's are slightly smaller than on my old sandals. My toes were hitting the edge of the footbed. Not comfortable at all. (I'm a size 7 in regular shoes).

So, I had to return them at my expense, and then pay the shipping to get the larger sized relacements sent to me. Now the fronts fit fine, but on the whole, the new size is a bit too large for the rest of my feet!

So, go to the mall and try them on first before buying, for best results."
241,-1.0,2006,"I do believe that this product is a type of Birkenstock, or maybe they have a license to sell as a Birkenstock, but they are not the Original Birkenstock as they claim to be.

I did not appreciate the service I received from Midwest Sports. Choosing the size by the sizing chart and comparing it to my shoe size, I thought I chose the correct size; but it was not, it was a size larger. So I had to exchange them. Not only did I have to pay for the postage to return the item, I was also charged to have the correct size mailed back to me. In my past experiences, the dealer has always been the one to pay for the postage.

Will I purchase from Midwest Sports again? No."
290,1.0,2006,The ring is very nice but shipping took longer than expected.
1175,1.0,2006,THE HANDKERCHIEFS ARE OF EXCELLENT QUALITY. I WOULD NOT HESITATE TO BUY MORE OF THEM
1176,1.0,2006,these are very nice handkerchiefs. they wash well and do not need ironing. They are soft enough not to irritate the nose. I can recommend them highly.
1177,1.0,2006,"Unlike cotton handkercheifs, these won't shrink and wrinkle in the wash.  It's nice to know that I can still find permanent press handkercheifs on Amazon.  Fast shipping too!"
1480,1.0,2006,"I had my son at the beginning of April and he's now right at 12lbs and still wearing them.  They do shrink...the sleeves are now 3/4 legnth, but they are soft."
1481,1.0,2006,"We really like these - except they are not 100 % cotton- as advertised.

oh well"
1484,1.0,2005,My husband is very happy with a case to hold all his watches.
1489,1.0,2006,"Good construction, but I was a little disappointed, at first. The higghly glossed finish made it look ""plasticky"". But my mom lover it !. Must be genetically encoded for those above 60 years to be thrilled at things shiny <laughter>"
1490,1.0,2006,I ordered the watchbox for 20 watches in August 2006. The delivery of the box was flexible and the box arrived quickly. It took only a couple of weeks and the price of the box was reasonable. With the box itself I am very satisfied.
1491,0.0,2006,"The storage box looks, feels, and even smells great. the see through pane on the top even makes it look really expensive, and it really does its job. Down side is that it does its job on the top deck, the bottom part of the storage unit is very thin, large watches won't fit in the bottom drawer. if u have 10 big/ wide watches and some thin ones, you'll be fine."
1492,1.0,2006,"This is a fantastic watch display/storage case.  It is of quality construction and looks very elegant.  Each watch compartment has a nice leather type crafted pillow for your watch to wrap around.  These are nice pillows and of good construction.

The display case has plenty of room between the watches and the glass.  There is even enough room, both on the pillow and between the pillow and glass, to show off pocket watches.  This case shows off your watches very nicely.  Even my el-cheapo timex watch looks good in this case.

If I had to find something lacking, I would have but one VERY MINOR suggestion.  I think each watch compartment should be just a tad bit deeper or longer so that I could store any watch band links right with the appropriate watch.  I'm able to do that now, but not in a way the hides the extra links very well.  Like I said, a very minor complaint, not even big enough to lose a star to.

I love this case and would truely recommend it to anyone needing a place to both store and show off their watches (pocket watches included)."
1493,1.0,2006,"the box is very nice.  However it arrived with a chip broken off the bottom left corner.  Due to the color of the veneer and the underlying material, the damage is very noticeable."
1494,1.0,2005,"I'm very satisfied with this product, it has a great looking and an afoordable price."
1662,1.0,2006,Great Hat.  Packs well.  I don't look stupid.  Offers excelent sun protection.  Tend to shrink after diving in pool.  Will purchase again.
1663,1.0,2006,Great product. Fast shipping. Thanks.
1784,1.0,2006,"The merchandise was beautiful, and the shipping was surprisingly quick.  I'd order from them again."
1791,1.0,2005,It woul be good if I could purchase two shorts of different colors on the same order
1796,1.0,2006,"Excellent product, good service.  Hard to find item in most stores."
1798,1.0,2006,An excellent value - but without permapress they'll be a little wrinkled straight out of the dryer.
1799,0.0,2006,"We use 100% cotton handkerchiefs instead of Kleenex in our house, so I keep several dozen on hand.  I wash them in hot water and bleach them frequently, especially during cold and/or allergy season.  I bought two dozen of these.  After I washed these handkerchiefs for the first time, hems on about 1/3 of the handkerchiefs showed signs of fraying. I think that the quality of the cotton cloth is fine, but the tiny hems don't have enough seam allowance to prevent the fraying. I intend to pull out my sewing machine and repair the frayed hems right away, and I feel sure that the handkerchiefs will serve us well after that.  I didn't want to pay top dollar for handkerchiefs when we use so many."
1800,1.0,2006,"After a LOT of searching on the internet, I found these, 100%, cotton handkerchiefs and use them every day! The product is perfectly what I wanted and I couldn't be happier!"
1801,1.0,2006,A perfect belated Christmas gift for my father- quality and a good price!
1891,-1.0,2006,"This is more of a costume item for an adult or older child than a toy for a young child.  There are only two working buttons, one to open the visor and one that repeats a single message through a crackly speaker.  There is some padding on the top, but not enough.  The manufacturer acknowleges this by including a note suggesting that more padding be added.  Overall not a good value at all for the price."
1892,1.0,2006,"I bought this helmet hoping that it would be big enough to fit an adult.  I was pleasantly surprised when it was big enough to wear comfortably!  While there is no headband or suspension, the inside is padded with foam, and the whole thing is light enough that it was very comfortable.

Any helmet can get stuffy to wear, but the front visor opens up so much that it is very easy to breath, and you could wear this for hours.  The electronics are an inside speaker that repeats the same sequence, and the microphone doesn't work, but the overall look is so good that it doesn't matter.

I plan on putting together an astronaut suit for this, and it would be a perfect outfit for Halloween parties!"
2274,1.0,2006,"Like most ""tall"" people, I hesitate buying pants online, in any form. But I figured, since these are just for working out, what's the difference. I was pleasantly suprised when these pants arrived. They were actually long enough for me...I'm 5'll"" and the medium was just right, even in the length. I also loved how super stretchy they are."
2275,1.0,2005,This is absolutely the most comfortable pair of pants that I've ever worn.  The extra bit of spandex (10% as opposed to most pants' 5%) allows the maximum movement without losing the shape of the pants.  These pants are so great that I just bought another pair for myself and highly recommend them to other women.
2278,1.0,2006,"Dealing with jewlery salespeople is like dealing with car dealers.... misearble.  Using Amazon to buy the engagement ring was the best decision I could have made.  Such an easy process, such a great price, and the customer service was superb.  There was a slight delay in delivery (one day) and I had an email letting me know to expect the delay, and a refund of $70 for the inconvience.  The ring showed up looking exactly like I thought it would, my fiance loved it, as has everyone she has shown.  I would recommend getting your ring on Amazon to anyone I know."
2279,0.0,2005,"I whish Amazon would pay more attention to details, when a customer pays $6K for a product. Remember that when I go to buy a ring in a store, the level of service is quite different compare to Blockbuster. You offer far more info on DVDs, then on a ring. I do expect actual digital pictures of the ring to be sent before the actual shipment in very high resolution.

The bad and very bad:

1. The proportions of the diamond to ring are not even close to the diagram.

2. 18K white gold is not even close to white, and you better have it in bold! Usually, rings like this are covered with Palladium, but not here.

3. Packaging is rather cheap. Would be OK for a $300 ring, but not for $6K

4. It was 2 days late. Once again, it would be OK with a DVD...

5. Engraving on the ring says ""Amazon"" in bold. It's not what I expected. So, have it in bold as well!

6. I do expect, at least, direct e-mail/chat support before and after the large purchase like this. Not just return policy.

7. Back to pictures. Usually, when you buy the stone in a store, you have an opportunity to look at the diamond with 10x magnification. So, I expect the picture like this when I select the diamond.

The good:

1. Having the scan of the diamond certificate is great.

2. Automated diamond search system is very good.

3. Looks like the craftsmanship is good."
2436,1.0,2006,"this tiny silver frog is adorable!!

but the part that fits onto your ear is totally hard

to pry open. my fingers hurt!

ditto my ear.

but the shape is so cute that i took away just one star

tee hee:-)"
2828,1.0,2006,These are very pretty earrings that catch the light and sparkle.
2886,1.0,2006,"I just received this beauty and WOW! I coupled this with some stackable cz and tanzanite rings and I must say, I couldn't BELIEVE how real and gorgeous it looks! WHAT A GREAT DEAL! Definitely recommend it for those of us who love the look and can't afford the real thing."
2887,1.0,2006,"I bought this ring recently and the stone and setting is gorgeous! The ONLY thing that I don't like it the flatter shape band. I like a raised band on a solitaire but that is a personal preference and in no way reflects the quality of the item. For the price, I would highly recommend!!"
4621,1.0,2006,"Briefly, I had a childhood accident 30+ years ago that caused arthritis in my foot.  Not bad, but a constant, nagging pain sensation that I learned to just live with.  Finally, I saw a podiatrist who referred me to a pedorthist to be fitted with footwear that could alleviate my pain.  I wound up with a pair of Birkenstock sandals and I've never turned back.

They're great.  No more foot pain, period.  I wear dress socks and the sandals to work everyday (in an office environment -- I got flack for that from co-workers, but the needling didn't bother me and management never took me to task, either), to church, everywhere.  I've a different pair of Birkies for the beach and lawn work -- not as comfortable as the suede uppers on these Arizona's.  The mocha suede straps have held up wonderfully despite getting wet and lightly soiled from time to time.

Admittedly, it's a lot of money to spend, but the shoe store my pedorthist works in re-soles the Birkies for about $30, and will replace the cork and sole both for about $50.  The re-soled sandals last about a year, but remember, I wear them daily and I often walk a few miles each day.

In short, these sandals have dramatically improved the quality of my life and foot arthritis is no longer any concern for me.  Not bad for a little more than $100."
4708,-1.0,2006,"When I bought this item, the idea was to use it when I workout or go running.  What I found when I recieved it was that it was really really cheap.  The silicon is thin.  That wouldnt be so bad if the plastic belt clip and the armband did not use that as the means of holding on the the IPod.  The thing feels like if I were to jump hard enough the IPod would fall out or would tear the silicon.

In my opinon, if you are planning on getting this case as a means for holding your IPod while working out or for the use of the belt clip do not get it. This thing is too cheap to hold on to your 250 - 350 dollar ipod. But if you are looking for a cheap functional case for your IPod so that it does not get scratched, go ahead and get it."
4709,1.0,2006,"This case keeps your iPod the way it's meant to be, THIN.  I have the pink case which looks great with my white iPod.  And it fits perfectly.

It is a little more costly with the shipping, but you get the armband, etc. etc.  Haven't used any of the accesories yet.

TIP:  If you're putting this case on a brand new iPod, peel up the original plastic protecting the front of the iPod and cut just below the screen.  This way, your screen will still be protected in the original packaging and you can save the screen protector they send for a replacement.

I do wish it covered more of the silver part near the USB and the armband holes in the back, but hey, obviously I understand you need to be able to plug it in and get the armband through. The hold switch and headphone cutouts are perfect."
4710,1.0,2006,"The material feels nice and soft but do attract some dusts. It fits my 30gb iPod video perfectly. It also comes with a cheap plastic screen protective guard, belt clip, silver lanyard, armband and a cellular phone booster chip?? (Not sure what this has to do with the iPOD).

Anyway, go with this if you are not looking to spend a lot of money on a decent case. But however adding the shipping cost will double the amount they ask for."
4711,0.0,2006,"Well i really like the material, bacause it's soft and the click wheel feels great when you scroll. i haven't tried the armband yet because i'm scared my ipod will fall out. it's on the cheap side. The screen protector is really great, all you have to do is smooth out the bumbs with a credit card. It also came with a little necklace thing to wear with your ipod. still can't figure out how to get it on. the armband also does not fit my girly arms. anyway, it good for the cheap price. you get what you pay for."
4712,1.0,2006,"I'm not a runner and I don't jog however, I do bike and use various exercise equipment.  For my purpose this is great.  My iPod is protected, love the light weight of the case, the armband has a very wide and long velcro closure and adjusts well to lower and upper arm areas.  The color of case does make the viewing screen area the same color of case but while I'm excersing I'm not looking at my display every 5 minutes, this is meant to be a convenience tool.  Excellent price too."
4713,-1.0,2006,"The case itself protects the iPod very well, however if you try to use the armband for running - forget it. The material is too flimsy to give good support. My iPod bounced around on my arm so much that it froze in the middle of my run!"
4714,-1.0,2006,The screen film leaves bubbles which affects your display.  Using the exterior A/V out will not show the picture because the case keeps the plug from being inserted all the way.
4715,1.0,2006,this case is perfect u get a free armband and it comes with a beltclip thats cool the black one looks awesome it protects everthing it comes with a screen protector and it protects the whole ipod body this is also a good case cuz it don't take alot of space in ur pocket its a pretty awesome case i use it when i run  and sometimes when im  playing basket ball with my friends if u love ur ipod and u don't want it to get all scratched this is a good case for that
7891,0.0,2006,"It's ok, but looks a little cheap (even though it is) and it's too big and heavy for what I was looking for.  I do not believe this costs $124.00 as retail price.  The diamonds are not even noticeable and do not shine at all."
8123,-1.0,2006,"Extremely dissapointed in the colors I received.  Out of 10, 6 were black, 3 red (2 shades), 1 pink.  I could deal with 6 blacks and 4 different (and I mean different - not all red-toned) colors, but not with what I got.  Useless.

I'm upset beyond words.  Will never buy from this seller again, and will not recommend to anyone I know, unless the seller comes through and fixes this."
8124,-1.0,2006,"wish there was a 0 star

do you people know what assorted means - you are morrons - what the hell am I supposed to do with 3 red shawls and 6 black shawls- this is not what I bargained for I could give them to friends but I don't have 6 girl friends I want somebody to fix this  or I will never use or shop Amazon ever again

I have never been so unhappy with a purchase in my life

hope you have a merry Xmas - I am not"
8125,1.0,2006,"The product is lovely, don't get me wrong -- just be sure to note that you can -- and probably will -- get color duplication. I made the silly silly mistake to order two sets all at once (greater chance of getting all the colors, right?) Yeah . . . no. Out of the 20 I have, I have 3 red, and 11 black. Not faulting them, because they said it could happen, just FYI . . ."
8126,1.0,2006,I can't figure out how to contact the seller but I am really interested in purchasing an order of these pashminas.  I see that they are unavailable right now and was wondering if they would be again before the holidays.
8127,1.0,2006,These are very similar to the scarves we fell in love with in the London shops.  Great price.  I just received mine and I'm very happy with the shipment. I hope they wash up as well as the viscose scarves I bought in London.  I don't know why they wouldn't.  Soft and warm next to the skin.  Pretty colors.  I received 6 colors with only 2 of them repeated in 3 scarves each.  Thank you.  I'm going to order another set to keep for last minute gifts.
397045,1.0,2005,Item came very quickly after I had ordered it.  It does just what one would expect.  The hanger is very well constructed of quality cedar wood.  I think if you are looking for a simple but yet practical item to hang your ties on you cannot go wrong with this product.  I recommend it without reservation.
397047,1.0,2006,"I always find myself placing my tickets and boarding passes in various pieces of carry on luggage or my purse and fumbling to find them at security and the gate.

I also carry a laptop, so there is more fumbling more placing it and out of the bag.

This definately helps keep things easier to manage, flip the ID open and closed, quickly take it off for screening after getting my boarding pass out, then quickly be able to slip it back on andd get the boarding pass back in a spot where I remember to put it."
397048,1.0,2002,"If you've flown since Sept 11th, you know how many times you are asked to present your boarding pass and driver's license.  If you've flown overseas, you add your PassPort too.  This simple wallet is brilliant.
What's best about this brand is the fact that it SNAPS CLOSED.  So, if you're like me, and not too thrilled with your drivers license photo, you don't have to walk around with it in plain sight.  And the fact that this hangs comfortably around your neck means no fumbling for these documents at each security checkpoint.
I cannot recommend this highly enough.  I've purchased several more for friends and family.  Once you've used it, you'll never fly without it."
397049,1.0,2003,"Excellent, it is the perfect both formal and informal carry computer case.  It's strong, well designed.  Just got it and like it very much.  I hope it lasts.  I was suprised for the well done design.  I Recommend it."
397051,1.0,2006,"I purchased the Traveler's Choice Athens Locker Bag last year for a friend for a Christmas persent and she loved it, not only for the gym but many other uses. I now, am looking to purchase "" Traveler's Choice Athens Locker Bag"" bag for other friends and family members for Christmas this year, as well as my self. I would like to ask the Amazon store to please bring this Item ""Traveler's Choice Athens Locker Bag"" back in stock soon."
397054,-1.0,2006,Didn't like the feel. Too small for my big head. Gave it to my kid.
397055,-1.0,2004,"I bought these expecting a decent pair of sunglasses, I have a Fossil watch so I am familiar with the quality of their brand.  I am very careful with my sunglasses to avoid damage.  After approx. 2 months of use one of the arms snapped.  I contacted the manufacturer and got a replacement pair under warranty.  Things were mostly OK after that -- the screw in one of the hinges worked itself loose causing the arm to fall off (easy to fix though I shouldn't have to), and part of the frame chipped somehow.  Then shortly after the warranty expired the arm snapped again.  Perhaps I just had bad luck, but I won't buy Fossil brand sunglasses again."
397057,1.0,2003,"This is a very rugged roomy laptop bag with a lot of compartments.  I fly every week for work and have had this case for three months now.  It holds my laptop, ipod, headphones, sunglasses, book, and files with room to spare and still looks great.
  The only issues I have is that the case is too wide to roll down the aisle on airplanes.  Also if you fly on a smaller commuter plane you'll usually be forced to gate check the bag as it is considered too big to go on board with you."
397058,1.0,2006,Compact and very light. My husband is happy with it.
397059,0.0,2004,"This was on my must-have list a couple of years ago, after growing tired of switching my heavy purse from one aching shoulder to the other. For the first six or seven months, it was a constant companion. The sling has ample room in the main compartment for books, letter-sized documents and is large enough to be a good carry-on. There are two zipper pockets that hold flat items (such as a passport) and handy velcro pockets on both the side pocket (sunglasses) and chest strap (cell phone). The main flap closes with velcro and at first, this worked pretty well. But over time, the velco lost some of its strength and my attempts to close the flap left me with a sling that had open gaps on either side of the purse, gaps large enough to allow keys to fall out. It gets high marks for comfort, but it isn't always convenient to lift the strap over your head. I still use it, but the hassles make it a less frequent choice , as I've gone back to a simple shoulder strap purse for everyday use."
397060,1.0,2004,"I used this case for two years as a more sturdy alternative than the carrying case that came with my laptop. It is durable, reliable, roomy to the max, and the outside pocket is great. There are sections for phone and power cords, biz cards, and pens. The main drawback that my chiropractor lectured me on was that by carrying the computer on one shoulder, I am making him lots of $. So I took a deep breath and upgraded to the Trager 740B Cross Country Laptop Back-Pack."
397067,1.0,2006,"It's not easy to find a good, reasonably priced neck pillow that provides solid support and is comfortable too. This pillow gets top marks in all these categories.  I would definitely recommend the item.  In fact, I bought another one for when I'm riding along as a passenger or when I'm in the dentist chair."
397068,1.0,2003,"The puppy shredded my wallet on Sunday afternoon. It was raining and not all the contents of the wallet were in the dog's stomach. It just was not usable and I still had all my ID's and credit cards. I wanted to replace it with something slightly smaller so when I went to Amazon.com, I looked first at the wallets that had measurements listed and then looked at the enlarged features so that I could judge whether or not they fit my needs.
Most of the wallets with measurements were not pretty to me and none of them came in red. I learned later that I should have checked the availability of the colors listed before I set my heart on the red wallet. The black wallet I decided upon is exactly what I wanted when I started looking through some 250 styles. It just is not red.
 After I received my lovely black wallet, I told my sister about it and I am now ordering a duplicate for her birthday at her request. She wanted a red wallet, too. Guess what? Hers will be black as well."
397069,1.0,2003,"This pack was rated very high by Backpacker Mag in 2001, but I've never seen the price go down (hence the loss of one star)!  It's extrememly light and comfortable, but may be too big for an overnight trip versus a couple of days or longer..."
397074,1.0,2004,"I used to be a very loyal Jansport buyer, but when the time came for a new backpack, I decided to see what else was out there.  I am very glad I did.

I knew this was the backpack for me when I was in a store examining the various models and trying them on for comfort.  After about half an hour of this I decided to go do some other shopping when my daughter pointed out I still had one on my shoulder!  It fit so well that I had stopped noticing I even had it on.  So I bought it!

The Pros:

- Two very roomy main compartments that inhale a stack of books and notebooks with no problem.  Since there are two, it let me be a little more organized about what contents go in which one.

- Padded notebook sleeve.  I've only carried mine a few times in there, but it felt reasonably padded from routine handling, but I'd still take care in tossing the backpack around.

- Convenient set of various pockets on the front.  I quickly assigned each of these specific roles (cell phone in the top one; pda in another; spare batteries, keys, and bus map in a third, etc.) Being able to go right to a specific compartment was nicer than rummaging around for stuff.

- Comfy top handle.  It has a very nice rubberized top handle for those times when you don't want to or can't shoulder-carry it, the handgrip is nice and cozy.  In my opinion it's far nicer than merely padded hand straps that still cut into your hands after a while.

- Rugged!  I've loaded rather large piles of computer science books into it and was likely to have my back itself give out before the backpack would.  I used to go through a Jansport every few semesters (usually from splitting at the seams somewhere) but this Eastpak still looks new after a year of daily use.

The Con:

- It lacks any sort of water-bottle holder.  If you have something insulated that doesn't sweat, you could put it inside, but that's not always an option.  It's just a shame they didn't add some netted ones on the sides.  It would have made this an ultimate backpack if it just had that.

So I've found my new favorite backpack from this (and I've been through a dozen or so in my life) and become a new Eastpak fan in the process.  For the price, I haven't found anything on the market that comes close to this for my needs."
397075,-1.0,2004,"I just bought this laptop backpack so taht I could carry my powerbook along with books.  I expected the laptop slot to be padded on the bottom, the most important place for padding since you put your bookbag down all the time.  I always gently put the bag down...yet I still ended up getting a DENT in my brand new laptop.  I've been carrying the laptop around in non-laptop bags, and haven't had any problems, so I expected no problems with a bag that was designed to carry a laptop.
other than that, it's a pretty bag w/ lots of compartments, so it's great as a regular bookbag..but the laptop slot seems to do nothing."
397076,1.0,2004,"I love everything about this bag. I am a nursing student and have lots of books and binders to carry in addition to my laptop (Apple iBook.) On a day with a heavy work load I can usually carry three books, each about 1.5 inches thick, as well as three 1 inch binders, all at one time. There is also plenty of compartment storage for everything from pencils to calculators. I especially like the clip located inside one of the pockets so that you can attach your keys to avoid them getting lost in your bag. I do wish there was more padding in the back so heavy loads weren't felt as much. I don't have problems with the straps slipping off, although the material on the inside of the strap is a little smoother than that of my other backpacks. Overall, you can't beat the price of this pack for the amount of space you get. I would definately buy another if the need arose."
397077,1.0,2004,"this is an awesome pack! i am a 6th grader and i am in love with it!!! even though i don't have a laptop, i use that pocket for my 2 notebooks! it has so much room! i keep my school suplies in the bigger compartment and my junk in the 2nd one. amazing space! this pack also holds up well in rain, i have walked home in the rain for 30 min. and nothing was moist! u should by this pack! it feels really light, and i wear it really low on my back! what more could u ask for? the only down side is theres no pocket for ur cellphone but i keep that in the little pocket near the top.
i would by it again if i needed to, but i don't think i will!
its just a must by!"
397078,1.0,2004,"It could use more laptop protection, but otherwise I have no complaints. Perfect for a college student/part time pro. It can carry your laptop, notes, books, odds and ends, w/o much weight on your shoulders.
I am getting ready to go back to school, and this is exactly what doctor ordered. Certainly, an excellent buy."
397079,0.0,2003,"Eastpak Mastermind is quite a sturdy knapsack.
I use it to carry items to and from work.  It does a great job
in holding my lunch, books, folded jacket, notebooks, keys..etc.
Most sacks I've had don't handle the weight that well, especially if you are a college student.  I have actually had a knapsack rip apart at the seems under the weight off all the text books I'm carrying.  Eastpak doesn't have that problem.
Also wearing an Eastpak on your back is quite gentle.  The straps and backing are foam, so it's easy on the back and shoulders.  The knapsacks material is also pretty water repellent.  I've gone through more than my share of being stuck in the middle of a torrential downpour, the outside of my knapsack is soaked, but the contest were bone dry.
My only negative comment about Eastpak is the no-slip straps.
They should be called ""always-slip"".  I've threaded the straps every which way and they've always come undone under the most light weight carrying conditions.  I've ended up knotting the end of the strap so it doesn't slip through.  Really not astetically pleasing, but it got the job done.  My only real issue with this fine bag.
For the college student on the go, or for the white collar worker rushing to and from work, I believe Eastpak is a good buy with some minor reservations."
397084,1.0,2006,"Thank you, the briefcase was great. I recieved it in a timely manner. New in the box.."
397087,1.0,2002,"This lil' hand bag is a cool gift for a friend or yourself.  If a purse is to big for the situation, just pack the essentials instead.  What really made it cool was the fact that I'd never seen one like this before."
397088,1.0,2006,"This is a lovely small bag, and I would have given it five stars if I had owned it long enough to be sure that the strap won't come loose; if it had the strap connected to the bag with some sort of hardware (the way Coach always used to do it before they sold out), rather than sewn in, I would be more certain.  To be fair, the bag costs much less than Coach would have charged, and so far the strap seems quite solidly attached.

The leather is soft and smooth, and the bag will go anywhere from extremely casual events to all but the most formal; it's neat and maintains a good, simple appearance.  There's no sign of a label of any sort--I've never been happy walking around in public carrying somebody's advertising (or what amounts to a price tag).

The one thing that I really like more than anything else is the length of the strap--nice and long.  Not all of us live on the mean streets, and not all of us think that a comfortable place for a shoulder bag is right in your armpit.  The strap here is long and flexible, so that you can access the bag's contents without removing it from your shoulder, and it isn't constantly slipping.

It is a bit small, but I find it quite big enough for a wallet, a phone, keys, small pad and pen, at least minimal makeup, and my keys--with a little room left over. I've been happy with it."
397103,0.0,2006,"I just had to give it 3 stars based on quality. (5 on fit and support) Where this bra has very good support the fabric did two things that just can't happen. 1. it gets those fuzz balls and 2. the fabric literally split in the back... it seems to be the decorative pattern that compromises the integrity. (my proof is I purchased 2 and they both did the exact same thing) I stitched it up just to lengthen its life. The bra straps come in a bit on the shoulders making it nice for tank tops. Like another reviewer says, the cups are a bit narrow and prone to ""spillage"". But if you get a good fit then this is a lovely shape. I got mine on sale for $13 so it was worth it regardless that it started falling apart soon. (hand washing of course)"
397104,1.0,2005,"I own four of these. I'm very glad of it, because they no longer sell them in my size. Again I have to begin a search for that most elusive thing - a comfortable bra that does what it's supposed to do. As to this bra though, even if you don't care about the minimizing effect, it's comfortable, supportive, and doesn't wear like body armor."
397105,1.0,2005,"Ah, the search for a perfect bra.  It can be as challenging the quest as the quest for the Holy Grail, if not more so.  I mean, with the Grail, you don't have to worry about sizing.  I hesitated to order this bra for a long time, as it appears to be pretty ugly in the photo displayed here, but I am pleased to say that in person, it's actually rather pretty.  However, be aware that there are 4 hooks in the back, so forget about your amour quickly unclasping it in during a moment of passion.  These hooks and the stretchy, sheer fabric provide substantial support though, and the wide straps are comfortable and won't leave whiplash marks upon the shoulders.  Unfortunately, the bra is cut rather narrow at the upper sides, heading towards the underarms.  Depending on your build, this can mean that the sides of your breasts will squish out, which is unattractive and indicative of a poor fit, so ordering a larger cup size than normal might be necessary."
397106,1.0,2003,"This is the most comfortable bra for me. It is light but holds firmly and the straps are wide.
thx"
